Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
Rumah unit pojokan siap huni & indent,Jakarta,Jagakarsa,114,75,1250000000,189,Sedang
DIJUAL Rumah brandnew siap huni di kawasan berkembang WISTERIA,Jakarta,Cakung,79,84,2200000000,163,Kecil
Dijual Rumah Cluster Oxalis Tahap 2 Termurah Se Jakarta Barat,Jakarta,Kembangan,70,55,1500000000,125,Kecil
Rumah 2 lantai Strategis Bebas Banjir Daerah Lenteng Agung,Jakarta,Lenteng Agung,95,77,1700000000,172,Sedang
D'LAPAN TOWNHOUSE,Jakarta,Pasar Rebo,48,41,710000000,89,Kecil
Jual rumah tingkat bisa usaha kpr dimunjul cipayung jakarta timur,Jakarta,Cipayung,75,80,655000000,155,Kecil
Dijual Rumah Elegan lokasi strategis di Cempaka Putih Tengah,Jakarta,Cempaka Putih,520,450,8000000000,970,Besar
Rumah cantik minimalis hnya 300 jutaan lokasi dkat dengan suntetmall,Jakarta,Tanjung Priok,24,24,325500000,48,Kecil
SISA 1 UNIT LUXURY CLASSIC MODERN HOUSE 3 LANTAI DALAM CLUSTER DI JAGAKARSA JAKARTA S...,Jakarta,Jagakarsa,140,72,1900000000,212,Sedang
RUMAH DIJUAL DI PONDOK AREN BINTARO FREE SEMUA BIAYA BIAYA,Jakarta,Bintaro,92,72,1300000000,164,Sedang
Rumah Ready On Progres Murah Di Jatikramat Bekasi Dekat Tol,Jakarta,Jatinegara,80,65,837400000,145,Kecil
Rumah Murah Jakarta SHM Tingkat 2 Lt Di Kemayoran JakPus Mulai 300jtan,Jakarta,Kemayoran,33,18,400000000,51,Kecil
Dijual rumah di area bintaro pondok aren masuk mobil,Jakarta,Joglo,80,40,550000000,120,Kecil
RUMAH BARU MODERN MINIMALIS DI CIJANTUNG KALISARI JAKARTA TIMUR,Jakarta,Kalisari,90,66,1150000000,156,Kecil
Rumah Murah Jakarta SHM Tingkat 2-3 Lantai Sertifikat SHM Hak Milik Lokasi Strategis,Jakarta,Kebon Jeruk,62,32,825800000,94,Kecil
RUMAH DI JUAL DI JAGAKARSA D'CASSA 5 JAGAKARSA NEGO DILOKASI,Jakarta,Jagakarsa,36,52,700000000,88,Kecil
Rumah dijual Jl. Dharmawangsa Panglima Polim Prapanca kebayoran baru jakarta sel,Jakarta,Kebayoran Baru,350,657,50000000000,1007,Besar
RUMAH 2 LANTAI BISA KPR DI JAGAKARSA JAKARTA SELATAN,Jakarta,Jagakarsa,110,63,1450000000,173,Sedang
Rumah Cantik design Modern di Cibubur,Jakarta,Cibubur,45,65,499000000,110,Kecil
Virya Semanan Tipe 6,Jakarta,,136,120,2548000000,256,Sedang
"KODE :16563(Si/Dj) Rumah Dijual Tamansari, Luas 106 Meter",Jakarta,Taman Sari,270,106,6000000000,376,Besar
Jual Murah Rumah 2 Lantai Dalam Komplek Cilandak Jakarta Selatan,Jakarta,Cilandak,350,335,10000000000,685,Besar
Dijual rumah dalam komplek di ulujami pesanggrahan Jaksel,Jakarta,Pesanggrahan,200,140,1900000000,340,Besar
RUMAH MURAH DUA LANTAI DI CIRACAS JAKARTA TIMUR,Jakarta,Ciracas,140,70,1000000000,210,Sedang
"DI JUAL Rumah bagus di daerah Kenanga Ampera, aman, nyaman dan tenang. siap huni",Jakarta,Ampera,314,311,10500000000,625,Besar
Dijual Cepat Rumah Dharmawangsa Kebayoran Baru Murah Turun Harga,Jakarta,Kebayoran Baru,558,558,19000000000,1116,Besar
Rumah murah di cipinang,Jakarta,Pulo Gadung,66,36,1140000000,102,Kecil
